,Round,Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,FSP_diff,FSW_diff,SSP_diff,FSW_ratio,SSW_diff,FSP_ratio,SSW_ratio,Total_Serve_Win_1,Total_Serve_Percentage_1,GROUPBY_['Round']_mean_FSP_diff,GROUPBY_['Round']_mean_Total_Serve_Win_1,GROUPBY_['Round']_mean_FSW_ratio,GROUPBY_['Round']_mean_SSW_ratio,GROUPBY_['Round']_mean_SSP_diff,GROUPBY_['Round']_max_FSP_diff,Bucketized_Player1,Bucketized_Player2,"GROUPBY_['Bucketized_Player1', 'Bucketized_Player2']_mean_Result","GROUPBY_['Bucketized_Player1', 'Bucketized_Player2']_mean_FSP_ratio",Serve_Dominance,Serve_Win_Ratio_Difference,Serve_Win_Difference,Serve_Dominance_Ratio
0,1,0,0,0,61,35,39,18,68,45,32,17,0,0,0,0,0,0,0,0.8970588235294118,-10,7,0.7777777777777778,1,0.8970588235294118,1.0588235294117647,53,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.1451612903225806,-9,0.8548387096774194
1,1,1,1,1,61,31,39,13,60,23,40,9,0,0,0,0,0,0,0,1.0166666666666666,8,-1,1.3478260869565215,4,1.0166666666666666,1.4444444444444444,44,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,1,0.375,12,1.375
2,1,2,2,0,52,53,48,20,77,57,23,15,0,0,0,0,0,0,0,0.6753246753246753,-4,25,0.9298245614035088,5,0.6753246753246753,1.3333333333333333,73,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,0.0138888888888888,1,1.0138888888888888
3,1,3,3,1,53,39,47,24,50,24,50,19,0,0,0,0,0,0,0,1.06,15,-3,1.625,5,1.06,1.263157894736842,63,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,1,0.4651162790697674,20,1.4651162790697674
4,1,4,4,0,76,63,24,12,53,59,47,32,0,0,0,0,0,0,0,1.4339622641509433,4,-23,1.0677966101694916,-20,1.4339622641509433,0.375,75,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.1758241758241758,-16,0.8241758241758241
5,1,5,5,0,65,51,35,22,63,60,37,22,0,0,0,0,0,0,0,1.031746031746032,-9,-2,0.85,0,1.031746031746032,1.0,73,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.1097560975609756,-9,0.8902439024390244
6,1,6,6,0,68,73,32,24,60,66,40,34,0,0,0,0,0,0,0,1.1333333333333333,7,-8,1.106060606060606,-10,1.1333333333333333,0.7058823529411765,97,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.03,-3,0.97
7,1,7,7,1,47,18,53,15,54,26,46,13,0,0,0,0,0,0,0,0.8703703703703703,-8,7,0.6923076923076923,2,0.8703703703703703,1.1538461538461535,33,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.1538461538461538,-6,0.8461538461538461
8,1,8,8,0,64,26,36,12,67,42,33,14,0,0,0,0,0,0,0,0.9552238805970148,-16,3,0.6190476190476191,-2,0.9552238805970148,0.8571428571428571,38,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,-1,-0.3214285714285714,-18,0.6785714285714286
9,1,9,9,1,77,76,23,11,60,68,40,25,0,0,0,0,0,0,0,1.2833333333333334,8,-17,1.1176470588235294,-14,1.2833333333333334,0.44,87,100,1.0205679438898023,57.115671641791046,1.0586678102171565,1.096582402052499,-0.7052238805970149,1.6226415094339623,0,0,0.4931071049840933,1.0179985745535785,0,-0.0645161290322581,-6,0.935483870967742
