,Round,Unnamed: 0,Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Unary_Unnamed: 0,Unary_Round,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,Unary_FSP.1,Unary_SSP.2,Unary_SSW.2,FSP_diff,Total_Wins_Player1,"GROUPBY_['Player1', 'Player2']_mean_FSP.1","GROUPBY_['Player1', 'Player2']_mean_Round","GROUPBY_['Player1', 'Player2']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2']_mean_FSP.2","GROUPBY_['Player1', 'Player2']_mean_SSW.1","GROUPBY_['Player1', 'Player2']_mean_SSW.2","GROUPBY_['Player1', 'Player2']_mean_FSP_diff","GROUPBY_['Player1', 'Player2']_mean_Total_Wins_Player1","GROUPBY_['Player1', 'Round']_mean_FSP.1",Player1_vs_Player2_SSP_diff,Player1_vs_Player2_FSP_diff
0,1,0,Lukas Lacko,Novak Djokovic,0,61,35,39,18,68,45,32,17,0.0,0.14285714285714285,True,False,False,False,False,False,False,True,6.4,0.2857142857142857,-7,53,61.0,1.0,39.0,0.0,68.0,18.0,17.0,-7.0,53.0,54.333333333333336,7,-7
1,1,1,Leonardo Mayer,Albert Montanes,1,61,31,39,13,60,23,40,9,0.0010615711252653928,0.14285714285714285,True,False,False,False,False,False,False,True,8.0,0.14285714285714285,1,44,61.0,1.0,39.0,1.0,60.0,13.0,9.0,1.0,44.0,61.0,-1,1
2,1,2,Marcos Baghdatis,Denis Istomin,0,52,53,48,20,77,57,23,15,0.0021231422505307855,0.14285714285714285,True,False,False,False,False,False,False,True,4.6000000000000005,0.25,-25,73,52.0,1.0,48.0,0.0,77.0,20.0,15.0,-25.0,73.0,51.666666666666664,25,-25
3,1,3,Dmitry Tursunov,Michael Russell,1,53,39,47,24,50,24,50,19,0.0031847133757961785,0.14285714285714285,True,False,False,False,False,False,False,True,10.0,0.32142857142857145,3,63,53.0,1.0,47.0,1.0,50.0,24.0,19.0,3.0,63.0,53.0,-3,3
4,1,4,Juan Monaco,Ernests Gulbis,0,76,63,24,12,53,59,47,32,0.004246284501061571,0.14285714285714285,True,False,False,False,False,False,False,True,9.4,0.5535714285714286,23,75,76.0,1.0,24.0,0.0,53.0,12.0,32.0,23.0,75.0,77.0,-23,23
5,1,5,Santiago Giraldo,Sam Querrey,0,65,51,35,22,63,60,37,22,0.005307855626326964,0.14285714285714285,True,False,False,False,False,False,False,True,7.4,0.375,2,73,65.0,1.0,35.0,0.0,63.0,22.0,22.0,2.0,73.0,61.5,-2,2
6,1,6,Dudi Sela,Jarkko Nieminen,0,68,73,32,24,60,66,40,34,0.006369426751592357,0.14285714285714285,True,False,False,False,False,False,False,True,8.0,0.5892857142857143,8,97,68.0,1.0,32.0,0.0,60.0,24.0,34.0,8.0,97.0,65.0,-8,8
7,1,7,Fabio Fognini,Alex Bogomolov Jr.,1,47,18,53,15,54,26,46,13,0.0074309978768577496,0.14285714285714285,True,False,False,False,False,False,False,True,9.200000000000001,0.21428571428571427,-7,33,47.0,1.0,53.0,1.0,54.0,15.0,13.0,-7.0,33.0,47.0,7,-7
8,1,8,David Guez,Richard Gasquet,0,64,26,36,12,67,42,33,14,0.008492569002123142,0.14285714285714285,True,False,False,False,False,False,False,True,6.6000000000000005,0.23214285714285715,-3,38,64.0,1.0,36.0,0.0,67.0,12.0,14.0,-3.0,38.0,64.0,3,-3
9,1,9,Nikolay Davydenko,Lukasz Kubot,1,77,76,23,11,60,68,40,25,0.009554140127388535,0.14285714285714285,True,False,False,False,False,False,False,True,8.0,0.42857142857142855,17,87,77.0,1.0,23.0,1.0,60.0,11.0,25.0,17.0,87.0,77.0,-17,17
10,1,10,Pablo Carreno Busta,Julien Benneteau,0,53,46,47,35,66,62,34,24,0.010615711252653927,0.14285714285714285,True,False,False,False,False,False,False,True,6.800000000000001,0.4107142857142857,-13,81,53.0,1.0,47.0,0.0,66.0,35.0,24.0,-13.0,81.0,53.0,13,-13
11,1,11,Tommy Robredo,Lukas Rosol,1,57,62,43,43,51,72,49,41,0.01167728237791932,0.14285714285714285,True,False,False,False,False,False,False,True,9.8,0.7142857142857143,6,105,57.0,1.0,43.0,1.0,51.0,43.0,41.0,6.0,105.0,57.4,-6,6
12,1,12,Samuel Groth,Vasek Pospisil,0,65,40,35,17,67,45,33,13,0.012738853503184714,0.14285714285714285,True,False,False,False,False,False,False,True,6.6000000000000005,0.21428571428571427,-2,57,65.0,1.0,35.0,0.0,67.0,17.0,13.0,-2.0,57.0,65.0,2,-2
13,1,13,Nicolas Mahut,Matthew Ebden,0,64,63,36,23,67,58,33,23,0.013800424628450107,0.14285714285714285,True,False,False,False,False,False,False,True,6.6000000000000005,0.39285714285714285,-3,86,64.0,1.0,36.0,0.0,67.0,23.0,23.0,-3.0,86.0,63.5,3,-3
