,ocean_proximity,longitude,latitude,total_rooms,total_bedrooms,households,median_income,BinaryHouseVal,Scaling_longitude,Bucketize_housing_median_age,Bucketize_population,Scaling_median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,bedroom_to_room_ratio,rooms_bedrooms_ratio,bedroom_ratio,GROUPBY_['ocean_proximity']_mean_median_income
0,0,-122.23,37.88,880.0,129.0,126.0,8.3252,1,0.2111553784860549,0,0,0.5396684183666433,0,0,0,0,0,0.146590909090909,6.821705426356589,0.146590909090909,4.17564691629956
1,0,-122.22,37.86,7099.0,1106.0,1138.0,8.3014,1,0.2121513944223104,1,1,0.5380270616957007,0,0,0,0,0,0.1557965910691646,6.418625678119349,0.1557965910691646,4.17564691629956
2,0,-122.24,37.85,1467.0,190.0,177.0,7.2574,1,0.2101593625498009,0,0,0.4660280547854512,0,0,0,0,0,0.1295160190865712,7.721052631578948,0.1295160190865712,4.17564691629956
3,0,-122.25,37.85,1274.0,235.0,219.0,5.6431,1,0.2091633466135454,0,0,0.3546985558819878,0,0,0,0,0,0.184458398744113,5.421276595744681,0.184458398744113,4.17564691629956
4,0,-122.25,37.85,1627.0,280.0,259.0,3.8462,1,0.2091633466135454,0,0,0.2307761272258314,0,0,0,0,0,0.1720958819913952,5.810714285714286,0.1720958819913952,4.17564691629956
5,0,-122.25,37.85,919.0,213.0,193.0,4.0368,1,0.2091633466135454,0,0,0.2439207735065723,0,0,0,0,0,0.2317736670293797,4.314553990610329,0.2317736670293797,4.17564691629956
6,0,-122.25,37.84,2535.0,489.0,514.0,3.6591,1,0.2091633466135454,0,1,0.2178728569261113,0,0,0,0,0,0.1928994082840236,5.184049079754601,0.1928994082840236,4.17564691629956
7,0,-122.25,37.84,3104.0,687.0,647.0,3.12,1,0.2091633466135454,0,1,0.1806940593922842,0,0,0,0,0,0.2213273195876288,4.518195050946143,0.2213273195876288,4.17564691629956
8,0,-122.26,37.84,2555.0,665.0,595.0,2.0804,1,0.2081673306772899,0,1,0.108998496572461,0,0,0,0,0,0.2602739726027397,3.842105263157895,0.2602739726027397,4.17564691629956
9,0,-122.25,37.84,3549.0,707.0,714.0,3.6912,1,0.2091633466135454,0,1,0.2200866194949035,0,0,0,0,0,0.1992110453648915,5.01980198019802,0.1992110453648915,4.17564691629956
10,0,-122.26,37.85,2202.0,434.0,402.0,3.2031,1,0.2081673306772899,0,0,0.1864250148273817,0,0,0,0,0,0.1970935513169845,5.073732718894009,0.1970935513169845,4.17564691629956
11,0,-122.26,37.85,3503.0,752.0,734.0,3.2705,1,0.2081673306772899,0,1,0.1910732265761851,0,0,0,0,0,0.2146731373108764,4.658244680851064,0.2146731373108764,4.17564691629956
12,0,-122.26,37.85,2491.0,474.0,468.0,3.075,1,0.2081673306772899,0,1,0.1775906539220148,0,0,0,0,0,0.1902850260939382,5.255274261603375,0.1902850260939382,4.17564691629956
13,0,-122.26,37.84,696.0,191.0,174.0,2.6736,1,0.2081673306772899,0,0,0.149908277127212,0,0,0,0,0,0.2744252873563218,3.643979057591623,0.2744252873563218,4.17564691629956
14,0,-122.26,37.85,2643.0,626.0,620.0,1.9167,1,0.2081673306772899,0,1,0.0977089971172811,0,0,0,0,0,0.2368520620506999,4.222044728434505,0.2368520620506999,4.17564691629956
15,0,-122.26,37.85,1120.0,283.0,264.0,2.125,0,0.2081673306772899,0,0,0.112074316216328,0,0,0,0,0,0.2526785714285714,3.957597173144877,0.2526785714285714,4.17564691629956
16,0,-122.27,37.85,1966.0,347.0,331.0,2.775,1,0.2071713147410358,0,0,0.156901284120219,0,0,0,0,0,0.1765005086469989,5.665706051873199,0.1765005086469989,4.17564691629956
17,0,-122.27,37.85,1228.0,293.0,303.0,2.1202,1,0.2071713147410358,0,0,0.1117432862994993,0,0,0,0,0,0.2385993485342019,4.191126279863481,0.2385993485342019,4.17564691629956
18,0,-122.26,37.84,2239.0,455.0,419.0,1.9911,1,0.2081673306772899,0,0,0.1028399608281265,0,0,0,0,0,0.2032157213041536,4.920879120879121,0.2032157213041536,4.17564691629956
19,0,-122.27,37.84,1503.0,298.0,275.0,2.6033,1,0.2071713147410358,0,0,0.1450600681369912,0,0,0,0,0,0.1982701264138389,5.043624161073826,0.1982701264138389,4.17564691629956
